Data;Ora;Fuso orario;Descrizione;Valuta;Lordo ;Tariffa ;Netto;Saldo;Codice transazione;Indirizzo email mittente;Nome;Nome banca;Conto bancario;Importo per spedizione e imballaggio;IVA;N. fattura pro-forma;Codice transazione di riferimento
02/01/2023;19:40:52;Europe/Berlin;Conversione di valuta generica;EUR;-3,95;0;-3,95;110,79;9U402753PG595342J;;;;;0;0;P-40469681;6E8034808Y646890Y
03/01/2023;23:55:56;Europe/Berlin;Pagamento Express Checkout;EUR;-51,59;0;-51,59;59,2;3BA50811L04183645;ecomm_customercare@ticketone.it;TicketOne S.p.a.;;;0;0;1209522874;
04/01/2023;00:05:02;Europe/Berlin;Pagamento da cellulare;EUR;16;0;16;75,2;5YM68003GP4551523;aconsta7@gmail.com;Andrea Constantinescu;;;0;0;;
04/01/2023;06:07:21;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-55,57;0;-55,57;19,63;4T154919AL676183B;paypal@register.it;Register spa;;;0;0;;B-73K06445L4035193U
16/01/2023;00:06:33;Europe/Berlin;Pagamento da cellulare;EUR;-130;0;-130;-110,37;21D800331X157821M;valentinacortese_96@hotmail.it;Valentina Cortese;;;0;0;;
16/01/2023;00:06:33;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;110,37;0;110,37;0;4EC328210M1871234;;;CheBanca  S.p.A.;1196;0;0;;21D800331X157821M
18/01/2023;22:36:50;Europe/Berlin;Pagamento Express Checkout;EUR;-12,85;0;-12,85;-12,85;7EG86371BX516840S;paypal_it@fedex.com;Fedex Express Italy S.r.l;;;0;0;86793548;5GD898224B460781K
18/01/2023;22:36:50;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;12,85;0;12,85;0;0KU6928568489942M;;;CheBanca  S.p.A.;1196;0;0;86793548;7EG86371BX516840S
19/01/2023;15:52:49;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-47,4;0;-47,4;-47,4;7FD40509WR274062W;paypal@register.it;Register spa;;;0;0;;B-73K06445L4035193U
19/01/2023;15:52:49;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;47,4;0;47,4;0;7HV89000KU841235E;;;CheBanca  S.p.A.;1196;0;0;;7FD40509WR274062W
20/01/2023;09:48:18;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-27,99;0;-27,99;-27,99;2TS665020J8684536;PayPal-GCLGPIL-PL-EUR@google.com;Google Payment Ireland Ltd.;;;0;0;882894578781484338;B-5RK1221886007091D
20/01/2023;09:48:18;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;27,99;0;27,99;0;50H97175437431612;;;CheBanca  S.p.A.;1196;0;0;882894578781484338;2TS665020J8684536
20/01/2023;12:15:10;Europe/Berlin;Pagamento preautorizzato utenza;EUR;-6,99;0;-6,99;-6,99;6LY38031YM278114Y;digitalshop@mail.wind.it;Very Mobile;;;0;0;20230120111502692-905-8852;B-4JL38423N6974482J
20/01/2023;12:15:10;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;6,99;0;6,99;0;7YS49310KF355011K;;;CheBanca  S.p.A.;1196;0;0;20230120111502692-905-8852;6LY38031YM278114Y
22/01/2023;02:13:36;Europe/Berlin;Pagamento Express Checkout;EUR;-61,4;0;-61,4;-61,4;6HV26094GR4436628;finance.paypal@justeat.it;Just Eat Italy Srl;;;3;0;132319205;096302422N936702N
22/01/2023;02:13:36;Europe/Berlin;Bonifico bancario sul conto PayPal;EUR;61,4;0;61,4;0;0M132987W4242930C;;;CheBanca  S.p.A.;1196;3;0;132319205;6HV26094GR4436628
